N,topic,malfunction,cause,elimination
78,Наличие сигнала от реле земли в УОИ,"Запрет режима тяги/ЭДТ
(Пробой силовой цепи (РЗ))",Наличие +110В в проводе от блок контакта к УОИ,"Проверить состояние реле земли. При срабатывании реле земли запрещен режим тяги и ЭДТ. Для поиска неисправной цепи, поочерёдно отключать ОМ и производить сбор тяги."
78,Наличие сигнала от реле земли в УОИ,"Запрет режима тяги/ЭДТ
(Пробой силовой цепи (РЗ))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить состояние реле земли. При срабатывании реле земли запрещен режим тяги и ЭДТ. Для поиска неисправной цепи, поочерёдно отключать ОМ и производить сбор тяги."
79,Не штатный запуск дизеля,"Предупреждение!
(Не штатный запуск дизеля)",Не штатный запуск дизеля,Произведен запуск дизеля. Проверить состояние тепловоза.
79,Не штатный запуск дизеля,"Предупреждение!
(Не штатный запуск дизеля)",Загрузка программы УОИ при запущенном дизеле,Произведен запуск дизеля. Проверить состояние тепловоза.
80,Неисправна плата БОДД в составе УОИ,"Останов ДГУ
(Неисправна плата БОДД)",Неисправна плата,Перезапустить УОИ
80,Неисправна плата БОДД в составе УОИ,"Останов ДГУ
(Неисправна плата БОДД)",Сбой в работе УОИ,Перезапустить УОИ
81,Отсутствие в ТИ сигнала с датчика температуры воды или отсутствие связи УОИ с ТИ,"Предупреждение!
(Неисправен датчик темп. воды в ТИ)",Неисправен датчик,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
81,Отсутствие в ТИ сигнала с датчика температуры воды или отсутствие связи УОИ с ТИ,"Предупреждение!
(Неисправен датчик темп. воды в ТИ)",Обрыв провода от датчика к ТИ,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
81,Отсутствие в ТИ сигнала с датчика температуры воды или отсутствие связи УОИ с ТИ,"Предупреждение!
(Неисправен датчик темп. воды в ТИ)",Отсутствие связи УОИ с ТИ,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
82,,"Предупреждение!
(Неисправен датчик темп. масла в ТИ)",Неисправен датчик,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
82,,"Предупреждение!
(Неисправен датчик темп. масла в ТИ)",Обрыв провода от датчика к ТИ,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
82,,"Предупреждение!
(Неисправен датчик темп. масла в ТИ)",Отсутствие связи УОИ с ТИ,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
83,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/Разбор тяги
(Отключен ЭПК)",ЭПК отключен,Проверить состояние ЭПК.
83,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/Разбор тяги
(Отключен ЭПК)",Неисправен ЭПК,Проверить состояние ЭПК.
83,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/Разбор тяги
(Отключен ЭПК)",Нет +110В или обрыв провода от ЭПК к УОИ,Проверить состояние ЭПК.
83,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/Разбор тяги
(Отключен ЭПК)",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние ЭПК.
84,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения БВК,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери БВК-1012РМ (А2))",Двери открыты,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
84,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения БВК,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери БВК-1012РМ (А2))",Неисправны концевики,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
84,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения БВК,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери БВК-1012РМ (А2))",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
84,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения БВК,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери БВК-1012РМ (А2))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
85,Отсутствие в УОИ сигнала о закрытой двери шестиканального выпрямителя,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери тягового выпрямителя (А1))",Двери открыты,"Проверить закрытие двери шестиканального выпрямителя, состояние контактов концевых выключателей."
85,Отсутствие в УОИ сигнала о закрытой двери шестиканального выпрямителя,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери тягового выпрямителя (А1))",Неисправны концевики,"Проверить закрытие двери шестиканального выпрямителя, состояние контактов концевых выключателей."
85,Отсутствие в УОИ сигнала о закрытой двери шестиканального выпрямителя,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери тягового выпрямителя (А1))",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить закрытие двери шестиканального выпрямителя, состояние контактов концевых выключателей."
85,Отсутствие в УОИ сигнала о закрытой двери шестиканального выпрямителя,"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери тягового выпрямителя (А1))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить закрытие двери шестиканального выпрямителя, состояние контактов концевых выключателей."
86,Отсутствие в УОИ сигнала о закрытых дверях аппаратной камеры (# номер двери с 1 по 4),"Снятие/запрет возбуждения ТГ
(Блокировка двери аппаратной камеры БД)",Двери открыты,"Проверить закрытие дверей, состояние контактов концевых выключателей дверей высоковольтной камеры."
86,Отсутствие в УОИ сигнала о закрытых дверях аппаратной камеры (# номер двери с 1 по 4),"Снятие/запрет возбуждения ТГ
(Блокировка двери аппаратной камеры БД)",Неисправны концевики,"Проверить закрытие дверей, состояние контактов концевых выключателей дверей высоковольтной камеры."
86,Отсутствие в УОИ сигнала о закрытых дверях аппаратной камеры (# номер двери с 1 по 4),"Снятие/запрет возбуждения ТГ
(Блокировка двери аппаратной камеры БД)",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить закрытие дверей, состояние контактов концевых выключателей дверей высоковольтной камеры."
86,Отсутствие в УОИ сигнала о закрытых дверях аппаратной камеры (# номер двери с 1 по 4),"Снятие/запрет возбуждения ТГ
(Блокировка двери аппаратной камеры БД)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить закрытие дверей, состояние контактов концевых выключателей дверей высоковольтной камеры."
87,Отсутствие в УОИ сигнала об открытых жалюзи,"Разбор схемы ЭДТ и включение режима ""Замещение"" / разбор тяги при нагружении на тормозные резисторы
(Блокировка жалюзи ЭДТ (жалюзи не открыты))",Жалюзи закрыты,"Проверить состояние жалюзи блока ЭДТ, работу пневматических вентилей ВЖТ1 и ВЖТ2, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
87,Отсутствие в УОИ сигнала об открытых жалюзи,"Разбор схемы ЭДТ и включение режима ""Замещение"" / разбор тяги при нагружении на тормозные резисторы
(Блокировка жалюзи ЭДТ (жалюзи не открыты))",Неисправны блокировки,"Проверить состояние жалюзи блока ЭДТ, работу пневматических вентилей ВЖТ1 и ВЖТ2, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
87,Отсутствие в УОИ сигнала об открытых жалюзи,"Разбор схемы ЭДТ и включение режима ""Замещение"" / разбор тяги при нагружении на тормозные резисторы
(Блокировка жалюзи ЭДТ (жалюзи не открыты))",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить состояние жалюзи блока ЭДТ, работу пневматических вентилей ВЖТ1 и ВЖТ2, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
87,Отсутствие в УОИ сигнала об открытых жалюзи,"Разбор схемы ЭДТ и включение режима ""Замещение"" / разбор тяги при нагружении на тормозные резисторы
(Блокировка жалюзи ЭДТ (жалюзи не открыты))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить состояние жалюзи блока ЭДТ, работу пневматических вентилей ВЖТ1 и ВЖТ2, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
88,Отсутствие в УОИ сигнала с датчика давления газов в картере дизеля,"Предупреждение!
(Датчик давл. в картере неисправен)",Неисправен датчик,Обратить внимание и продолжить движение.
88,Отсутствие в УОИ сигнала с датчика давления газов в картере дизеля,"Предупреждение!
(Датчик давл. в картере неисправен)",Обрыв провода от датчика к УОИ,Обратить внимание и продолжить движение.
89,Отсутствие в УОИ сигнала с датчика температуры воды,"Предупреждение!
(Неисправен датчик темп. воды в УОИ)",Неисправен датчик,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
89,Отсутствие в УОИ сигнала с датчика температуры воды,"Предупреждение!
(Неисправен датчик темп. воды в УОИ)",Обрыв провода от датчика к УОИ,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
90,Отсутствие в УОИ сигнала с датчика температуры масла,"Предупреждение!
(Неисправен датчик темп. масла в УОИ)",Неисправен датчик,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
90,Отсутствие в УОИ сигнала с датчика температуры масла,"Предупреждение!
(Неисправен датчик темп. масла в УОИ)",Обрыв провода от датчика к УОИ,Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
91,Отсутствие сигнала о включении автомата в УОИ,"Снятие/запрет возбуждения ТА
(Откл. автомат ""Возбуждение"" (SF7))",Автомат отключен,Проверить состояние автомата SF7. При отключенном автомате отсутствует охлаждение дизеля и запрещен режим тяги и ЭДТ.
91,Отсутствие сигнала о включении автомата в УОИ,"Снятие/запрет возбуждения ТА
(Откл. автомат ""Возбуждение"" (SF7))",Нет +110В или обрыв провода от блок контакта к УОИ,Проверить состояние автомата SF7. При отключенном автомате отсутствует охлаждение дизеля и запрещен режим тяги и ЭДТ.
91,Отсутствие сигнала о включении автомата в УОИ,"Снятие/запрет возбуждения ТА
(Откл. автомат ""Возбуждение"" (SF7))",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние автомата SF7. При отключенном автомате отсутствует охлаждение дизеля и запрещен режим тяги и ЭДТ.
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат 1МТ (QF6 - обдув задней тележки))",Автомат отключен,"Проверить состояние автомата QF6. Запрещен режим тяги и ЭДТ. При отключенном автомате QF6 мотор-вентилятор задней тележки 1МТ не работает.
Дальнейшее движение возможно при отключении ТЭД передней тележки."
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат 1МТ (QF6 - обдув задней тележки))",Нет +110В или обрыв провода от блок контакта к УОИ,"Проверить состояние автомата QF6. Запрещен режим тяги и ЭДТ. При отключенном автомате QF6 мотор-вентилятор задней тележки 1МТ не работает.
Дальнейшее движение возможно при отключении ТЭД передней тележки."
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат 1МТ (QF6 - обдув задней тележки))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить состояние автомата QF6. Запрещен режим тяги и ЭДТ. При отключенном автомате QF6 мотор-вентилятор задней тележки 1МТ не работает.
Дальнейшее движение возможно при отключении ТЭД передней тележки."
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат 2МТ (QF5 - обдув задней тележки))",Автомат отключен,"Проверить состояние автомата QF5. Запрещен режим тяги и ЭДТ. При отключенном автомате QF5 мотор-вентилятор задней тележки 2МТ не работает.
Дальнейшее движение возможно при отключении ТЭД задней тележки."
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат 2МТ (QF5 - обдув задней тележки))",Нет +110В или обрыв провода от блок контакта к УОИ,"Проверить состояние автомата QF5. Запрещен режим тяги и ЭДТ. При отключенном автомате QF5 мотор-вентилятор задней тележки 2МТ не работает.
Дальнейшее движение возможно при отключении ТЭД задней тележки."
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат 2МТ (QF5 - обдув задней тележки))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить состояние автомата QF5. Запрещен режим тяги и ЭДТ. При отключенном автомате QF5 мотор-вентилятор задней тележки 2МТ не работает.
Дальнейшее движение возможно при отключении ТЭД задней тележки."
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат вент. выпрямителя (QF7))",Автомат отключен,Проверить состояние автомата QF7. При отключенном автомате запрещен режим тяги и ЭДТ.
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат вент. выпрямителя (QF7))",Нет +110В или обрыв провода от блок контакта к УОИ,Проверить состояние автомата QF7. При отключенном автомате запрещен режим тяги и ЭДТ.
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет режима тяги/ЭДТ
(Откл. автомат вент. выпрямителя (QF7))",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние автомата QF7. При отключенном автомате запрещен режим тяги и ЭДТ.
91,Отсутствие сигнала о включении автомата в УОИ,"Отключено питание исполнительных устройств и органов управления. Останов дизеля!
(Отключен ав. ""Управление общее"" (SF5))",Автомат отключен,"Проверить автомат, подводящие провода, наличие земли в цепях управления. Определить причину срабатывания автомата поочередным отключением цепей."
91,Отсутствие сигнала о включении автомата в УОИ,"Отключено питание исполнительных устройств и органов управления. Останов дизеля!
(Отключен ав. ""Управление общее"" (SF5))",Нет +110В или обрыв провода от блок контакта к УОИ,"Проверить автомат, подводящие провода, наличие земли в цепях управления. Определить причину срабатывания автомата поочередным отключением цепей."
91,Отсутствие сигнала о включении автомата в УОИ,"Отключено питание исполнительных устройств и органов управления. Останов дизеля!
(Отключен ав. ""Управление общее"" (SF5))",Неисправность платы БОДД (ПВДД) УОИ,"Проверить автомат, подводящие провода, наличие земли в цепях управления. Определить причину срабатывания автомата поочередным отключением цепей."
91,Отсутствие сигнала о включении автомата в УОИ,"Не включается КДК и КУДК
(Отключен ав. компрессора (АМК))",Автомат отключен,Проверить состояние автомата. (Компрессор не работает).
91,Отсутствие сигнала о включении автомата в УОИ,"Не включается КДК и КУДК
(Отключен ав. компрессора (АМК))",Нет +110В или обрыв провода от блок контакта к УОИ,Проверить состояние автомата. (Компрессор не работает).
91,Отсутствие сигнала о включении автомата в УОИ,"Не включается КДК и КУДК
(Отключен ав. компрессора (АМК))",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние автомата. (Компрессор не работает).
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет работы компрессора
(Отключен ав. сист. управления компрессора (SF20))",Автомат отключен,Проверить состояние автомата (Компрессор не работает).
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет работы компрессора
(Отключен ав. сист. управления компрессора (SF20))",Нет +110В или обрыв провода от блок контакта к УОИ,Проверить состояние автомата (Компрессор не работает).
91,Отсутствие сигнала о включении автомата в УОИ,"Запрет работы компрессора
(Отключен ав. сист. управления компрессора (SF20))",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние автомата (Компрессор не работает).
91,Отсутствие сигнала о включении автомата в УОИ,"Останов/Запрет запуска дизеля
(Пожарная сигнализация не работает (не включена))",Автомат отключен,Проверить состояние автомата SF2. При отключенном автомате запуск дизеля запрещен.
91,Отсутствие сигнала о включении автомата в УОИ,"Останов/Запрет запуска дизеля
(Пожарная сигнализация не работает (не включена))",Нет +110В или обрыв провода от блок контакта к УОИ,Проверить состояние автомата SF2. При отключенном автомате запуск дизеля запрещен.
91,Отсутствие сигнала о включении автомата в УОИ,"Останов/Запрет запуска дизеля
(Пожарная сигнализация не работает (не включена))",Неисправность платы БОДД (ПВДД) УОИ,Проверить состояние автомата SF2. При отключенном автомате запуск дизеля запрещен.
92,Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях,"Отключены органы управления
(Включите блокировку управления)",БУ отключена,"Выберите главную кабину, включив блокировку управления тормозами."
92,Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях,"Отключены органы управления
(Включите блокировку управления)",Нет +110В или обрыв провода от БУ к УОИ,"Выберите главную кабину, включив блокировку управления тормозами."
92,Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях,"Отключены органы управления
(Включите блокировку управления)",Неисправность платы БОДД (ПВДД) УОИ,"Выберите главную кабину, включив блокировку управления тормозами."
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (1 канал))",Предохранитель сгорел,Выключить ОМ1 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (1 канал))",Нет +110В или обрыв провода от предохранитель к УОИ,Выключить ОМ1 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (1 канал))",Неисправность платы БОДД (ПВДД) УОИ,Выключить ОМ1 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (2 канал))",Предохранитель сгорел,Выключить ОМ2 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (2 канал))",Нет +110В или обрыв провода от предохранитель к УОИ,Выключить ОМ2 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (2 канал))",Неисправность платы БОДД (ПВДД) УОИ,Выключить ОМ2 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (3 канал))",Предохранитель сгорел,Выключить ОМ3 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (3 канал))",Нет +110В или обрыв провода от предохранитель к УОИ,Выключить ОМ3 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (3 канал))",Неисправность платы БОДД (ПВДД) УОИ,Выключить ОМ3 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (4 канал))",Предохранитель сгорел,Выключить ОМ4 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (4 канал))",Нет +110В или обрыв провода от предохранитель к УОИ,Выключить ОМ4 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (4 канал))",Неисправность платы БОДД (ПВДД) УОИ,Выключить ОМ4 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (5 канал))",Предохранитель сгорел,Выключить ОМ5 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (5 канал))",Нет +110В или обрыв провода от предохранитель к УОИ,Выключить ОМ5 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (5 канал))",Неисправность платы БОДД (ПВДД) УОИ,Выключить ОМ5 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (6 канал))",Предохранитель сгорел,Выключить ОМ6 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (6 канал))",Нет +110В или обрыв провода от предохранитель к УОИ,Выключить ОМ6 и продолжить движение.
93,Отсутствие сигнала о целостности предохранителя в УОИ,"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (6 канал))",Неисправность платы БОДД (ПВДД) УОИ,Выключить ОМ6 и продолжить движение.
94,Отсутствует ток мотор-компрессора,"Предупреждение!
(Нет тока мотор-компрессора!)",Неисправен двигатель мотор-компрессора,Проверить напряжение бортовой сети. При наличии напряжения включить компрессор в ручном режиме.
94,Отсутствует ток мотор-компрессора,"Предупреждение!
(Нет тока мотор-компрессора!)",Неисправен датчик тока,Проверить напряжение бортовой сети. При наличии напряжения включить компрессор в ручном режиме.
94,Отсутствует ток мотор-компрессора,"Предупреждение!
(Нет тока мотор-компрессора!)",Отсутствует напряжение бортовой сети,Проверить напряжение бортовой сети. При наличии напряжения включить компрессор в ручном режиме.
95,Отсутствует ток ТЭД1...ТЭД6,"Предупреждение!
(Нет тока ТЭД1...ТЭД6)",Неисправен 1...6 канал тягового выпрямителя,Отключить соответствующий ОМ и продолжить движение.
95,Отсутствует ток ТЭД1...ТЭД6,"Предупреждение!
(Нет тока ТЭД1...ТЭД6)",Неисправна плата УВ в УОИ,Отключить соответствующий ОМ и продолжить движение.
95,Отсутствует ток ТЭД1...ТЭД6,"Предупреждение!
(Нет тока ТЭД1...ТЭД6)",Неисправен датчик тока,Отключить соответствующий ОМ и продолжить движение.
95,Отсутствует ток ТЭД1...ТЭД6,"Предупреждение!
(Нет тока ТЭД1...ТЭД6)",Обрыв провода от датчика к УОИ,Отключить соответствующий ОМ и продолжить движение.
96,Переход в ЭДТ при отключенных ОМ1-ОМ6,"Снятие/запрет схемы ЭДТ
(Включены не все ТЭДы)",Выключены тумблеры ОМ1-6,Проверить состояние тумблеров ОМ1-6. Включить тумблеры ОМ1-6.
96,Переход в ЭДТ при отключенных ОМ1-ОМ6,"Снятие/запрет схемы ЭДТ
(Включены не все ТЭДы)",Нет +110В или обрыв проводов от тумблеров,Проверить состояние тумблеров ОМ1-6. Включить тумблеры ОМ1-6.
96,Переход в ЭДТ при отключенных ОМ1-ОМ6,"Снятие/запрет схемы ЭДТ
(Включены не все ТЭДы)",Неисправность платы БОДД(ПВДД) УОИ,Проверить состояние тумблеров ОМ1-6. Включить тумблеры ОМ1-6.
97,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 кгс/см2 датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов""
(Дизель не запустился)",Давление меньше нормы,"Проверить уровень масла (падение давления при провороте), положение предельного выключателя и воздушной захлопки."
97,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 кгс/см2 датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов""
(Дизель не запустился)",Обрыв проводов к датчику,"Проверить уровень масла (падение давления при провороте), положение предельного выключателя и воздушной захлопки."
97,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 кгс/см2 датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов""
(Дизель не запустился)",Неисправен датчик,"Проверить уровень масла (падение давления при провороте), положение предельного выключателя и воздушной захлопки."
97,"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 кгс/см2 датчика ВР1","После режима ""Раскрутки"" переход в режим ""Останов""
(Дизель не запустился)",Неисправна плата БОАД/ ПВАД/ БПД1 УОИ,"Проверить уровень масла (падение давления при провороте), положение предельного выключателя и воздушной захлопки."
98,После установления связи со второй секцией тепловоза в течении 5 секунд отсутствует приём данных,"Предупреждение!
(Нет приема с тепловозом)",Отключено питание УОИ второй секции,"Обратить внимание. Если питание УОИ второй секции не выключалось, то необходимо проверить межтепловозное соединение."
98,После установления связи со второй секцией тепловоза в течении 5 секунд отсутствует приём данных,"Предупреждение!
(Нет приема с тепловозом)",Неисправна межсекционная линия связи,"Обратить внимание. Если питание УОИ второй секции не выключалось, то необходимо проверить межтепловозное соединение."
99,"При включении устройством обработки информации (УОИ) контактора КМ2...КМ7,КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его включении в УОИ не приходит","Предупреждение!
(КМ2 не включился)",Несправен контактор,Проверить наличие возбуждения тягового генератора. При наличии - обратить внимание и продолжить движение. При отсутствии - выключить и включить заново автомат SF10. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
99,"При включении устройством обработки информации (УОИ) контактора КМ2...КМ7,КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его включении в УОИ не приходит","Предупреждение!
(КМ2 не включился)",Обрыв провода к катушке контактора или отсутствие +110В,Проверить наличие возбуждения тягового генератора. При наличии - обратить внимание и продолжить движение. При отсутствии - выключить и включить заново автомат SF10. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
