N,topic,malfunction,cause,elimination
106,Тяговые преобразователи,ТП-2 превышение температуры ТЭД-4 (или ТЭД-3).,"Есть команда вперед или назад, и есть готовность ТП-2. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 2.",Происходит блокировка привода до достижения необходимой температуры. Следовать до ПТО.
107,Тяговые преобразователи,ТП-2 обороты ТЭД-4 (или ТЭД-3) недостоверны,"Есть команда вперед или назад, и есть готовность ТП-2. Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG2",Следовать до ПТО.
108,Тяговые преобразователи,ТП-2 обороты ТЭД-4 (или ТЭД-3) превышают заданные.,"Есть команда вперед или назад, и есть готовность ТП-2. Превышение конструкционной скорости локомотива.",Обеспечить снижение скорости движения. Дальнейшее следование с уменьшенной скоростью.
109,Тяговые преобразователи,ТП-2 превышение температуры привода ТЭД-4 (или ТЭД-3).,"Есть команда вперед или назад, и есть готовность ТП-2. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 1.",Происходит ограничение момента привода до достижения необходимой температуры. Следовать до ПТО.
110,Тяговые преобразователи,ТП-2 превышение температуры инвертора ТЭД-4 (или ТЭД-3).,"Есть команда вперед или назад, и есть готовность ТП-2. Температура преобразователя привода A (или Б) превысила максимально допустимое значение",Происходит снижение момента привода. Следовать до ПТО.
111,Вспомогательные машины,Не включается К12,Если при выданной команде на включение К12 в течение 2 секунд отсутствует сигнал о включении К12 (провод 468),Включается контактор К13. Следовать до ПТО.
112,Вспомогательные машины,Не включается К13,Если при выданной команде на включение К13 в течение 2 секунд отсутствует сигнал о включении К13 (провод 469),Включается контактор К12. Следовать до ПТО.
113,Вспомогательные машины,Не включается ВО-БВТ,Устанавливается требование разгруппировки ТП1 и ТП2.,Следовать до основного депо на исправных тяговых преобразователях.
114,Вспомогательные машины,"Не включается К1 (ВО-ТЭД 1, 2)",Задание момента в ТП1 устанавливается равным 0 если при выданной команде на включение контактора К1 в течение 5 секунд нет сигнала с его блокировки (провод 457).,"Индикация работы ВО ТЭД на мониторе производится красным цветом, если в течение 2 секунд нет сигнала о включении К1. Следовать до основного депо на работающих тяговых преобразователях."
115,Вспомогательные машины,"Не включается К2 (ВО-ТЭД 3, 4)",Задание момента в ТП2 устанавливается равным 0 если при выданной команде на включение контактора К2 в течение 5 секунд нет сигнала с его блокировки (провод 458).,"Индикация работы ВО ТЭД на мониторе производится красным цветом, если в течение 2 секунд нет сигнала о включении К2. Следовать до основного депо на работающих тяговых преобразователях."
116,Вспомогательные машины,Не включается К14,Если при выданной команде на включение К14 в течение 2 секунд отсутствует сигнал о включении К14 (провод 470),Включается контактор К15. Следовать до ПТО.
117,Вспомогательные машины,Не включается К15,Если при выданной команде на включение К15 в течение 2 секунд отсутствует сигнал о включении К15 (провод 471),Включается контактор К14. Следовать до ПТО.
118,Вспомогательные машины,Не включается В-Надд,Отсутствует сигнал о включении К14 и К15,Следовать до ПТО.
119,Вспомогательные машины,Выключен обогрев окон по требованию БПСН,Требование БПСН уменьшить нагрузку,"Следовать до основного депо, возможен запрет на включение компрессора."
120,Вспомогательные машины,Не включается внешнее питание - не закрыты ШВА,"ТП подключается к источнику внешнего питания, если отключены любые три ТЭД и получены сигналы о закрытых ШВА и люках (провод 334)",Проверить закрытие ШВА
121,Компрессор,МК выключен - нет готовности БУ-МК,"Нет сигнала ""Готовность МК"" от блока управления МК.","Проверить температуру масла в МК, состояние кнопки ""Авария"" на блоке управления МК.
Если причина не установлена следовать до основного депо компрессорами других секций."
122,Компрессор,МК выключен - блокировка обратного вращения МК,"При первом, после включения ВУ пуске, в интервале времени от 1 до 10 секунд от включения К3 сигнал ""Готовность МК"" (провод 324) пропадает более чем на 0,2 секунды.","Блокировка включения компрессора снимается при помощи клавиатуры монитора через экран ""Диагностика""."
123,Компрессор,МК выключен - не включился К3,Нет сигнала от БВС о включении К3 (провод 459),"Выключить и включить тумблер ""Компрессор"" в кабине управления. Следовать до ПТО."
124,Компрессор,Блокирован МК по неготовности БУ-МК,"В течение 15 секунд от БВС нет сигнала ""Готовность МК""","Блокировка включения компрессора снимается при помощи клавиатуры монитора через экран ""Диагностика""."
125,Компрессор,Блокирован МК по не включению К3,В течение 2 секунд нет сигнала от БВС о включении К3 (провод 459),"Блокировка включения компрессора снимается при помощи клавиатуры монитора через экран ""Диагностика""."
126,Управление тягой и электрическим торможением,"ТЭД выключены - нет команд ""Вперед"" или ""Назад""",Перед включением ТЭД не задано направление движения,"Установить переключатель направления движения в положение ""Вперед"" или ""Назад"""
127,Управление тягой и электрическим торможением,"Выключены ТЭД кнопкой ""Выбег""","Наличие сигнала от джойстика ""Тяга+"" при нажатии кнопки.","Установить джойстик ""Тяга+"" в положение ""0"""
128,Управление тягой и электрическим торможением,Не включаются ТЭД - не включен ГВ,Задание силы тяги при выключенном ГВ.,Привести электровоз в рабочее состояние
129,Управление тягой и электрическим торможением,"ТЭД выключены - недопустимое давление в ТМ, ТЦ",Разбирается схема тяги или электрического торможения по величине давления в тормозной магистрали и тормозных цилиндрах.,"Задание силы тяги производится при величине давления в ТМ более 0,45МПа.
Задание тормозной силы производится при величине давления в ТМ более 0,28МПа и в ТЦ менее 0,15МПа.
Схема тяги и электрического торможения разбираются при давлении в ТМ менее 0,27МПа.
Схема электрического торможения разбирается при давлении в ТЦ более 0,15МПа."
130,Управление тягой и электрическим торможением,"ТЭД выключены - нет сигнала цепи ""Разрешение Тяги""",Нет сигнала на БВС по проводу 214.,"Проверь включение автоматического выключателя SF8 (""Выбег""), ключа ВЦУ в положении ""1"", включение ЭПК, нет срабатывания устройства контроля ТМ (KL10)."
131,Управление тягой и электрическим торможением,ТЭД выключены - нет разрешения включения ТЭД от САУТ.,"В режиме ""Тяга"" от системы безопасности (САУТ) в кодовой линии присутствует сигнал ""Выключение тяги"".",Проверить работу САУТ.
132,Управление тягой и электрическим торможением,ТЭД выключены - нет готовности к работе от внешнего источника питания,Нет признаков подключения внешнего питания от выбранного ТП,Проверить подключение внешнего питания.
133,Управление тягой и электрическим торможением,Не включаются ТЭД - джойстик силы заблокирован,"Джойстик силы не возвращался в положение ""0""","Перевести джойстик силы в положение ""0"" и повторить задание силы"
134,Управление тягой и электрическим торможением,Не задается скорость - заблокирован джойстик скорости,"Джойстик скорости не возвращался в положение ""0""","Перевести джойстик скорости в положение ""0"" и повторить задание силы"
135,Управление тягой и электрическим торможением,"Джойстик силы заблокирован, задание ведется кнопками ""Тяга+/-""","Величина силы задана кнопкой ""Тяга+""","Установить заданное значение силы ""0"" и повторить задание силы джойстиком."
136,Управление тягой и электрическим торможением,"Кнопки ""Тяга+/-"" заблокированы, задание ведется от джойстика силы","Величина силы задана джойстиком ""Тяга""","Установить заданное значение силы ""0"" и повторить задание силы кнопками."
137,Управление тягой и электрическим торможением,"Заблокирован джойстик скорости, задание ведется кнопками ""Тяга+/-""","Величина силы задана кнопкой ""Тяга+""","Установить заданное значение силы ""0"" и повторить задание скорости джойстиком."
138,Управление тягой и электрическим торможением,Выключены ТЭД - сильное боксование/юз,"В режиме ""Тяга"" есть сигнал сильного боксования или юза, при включенной ПСЗ;",Повторить задание силы.
139,Управление тягой и электрическим торможением,"Не задается режим ""Ввод в депо"" - не опущен ТКП",Поднят токоприемник,"Разрешение ""Ввод в депо"", ""Обточка"", ""Холодный отстой"" устанавливается, если:
- есть признак выключения ГВ;
- нет команд на подъем токоприемников."
140,Управление тягой и электрическим торможением,"Не задается режим ""Ввод в депо"" - не выключен ГВ",Включен ГВ,
141,Управление тягой и электрическим торможением,"Переключатель ""Эксплуатация"" не соответствует положению ""Нормальная эксплуатация""","Не установлено требование ""Нормальная эксплуатация"".","Установить переключатель в положение ""Нормальная эксплуатация"". Повторить запуск электровоза."
142,Управление тягой и электрическим торможением,Не включаются ТЭД - не закрыты ВВК,Опущен токоприемник.,"Проверить состояние блокировок дверей, люка выхода на крышу и ключевых запоров. Повторить запуск электровоза."
143,Управление тягой и электрическим торможением,Не включаются ТЭД - заторможен стояночный тормоз,Имеется сигнал о заторможенном ручном тормозе от любой секции.,На 5 секунд устанавливается запрет задания силы тяги. Проверить состояние ручных тормозов на всех секциях.
144,Управление тягой и электрическим торможением,Ограничение по току 580А,При превышении тока любой секции 250А или тока через один токоприемник 580 А производится снижение величины силы тяги,Обеспечить задание силы тяги в соответствии с током потребления.
145,Управление тягой и электрическим торможением,Ограничение максимальной силы тяги/торможения электровоза,Ограничение максимальной силы тяги/торможения по скорости движения,Продолжить движение.
146,Управление тягой и электрическим торможением,"Замещение электрического торможения, запрет режима ""Автоведение""",В течение более 5 секунд не реализуется заданная тормозная сила,"Выйти из режима ""Автоведение"" в режим ""Советчик"", отменить замещение электрического торможения."
147,Тяговые двигатели ТЭД 1-2,"Не включаются ТЭД1-2 - от ТП-1 нет сигнала ""Действительное вращающееся поле""",Нет подтверждения от ТП-1 о подключении к источнику питания.,"Проверить подключение питания для режима ""Ввод в депо"""
148,Тяговые двигатели ТЭД 1-2,"Не включаются ТЭД1-2 - от ТП-1, нет сигнала ""Ход""","От ТП-1 нет подтверждения сигнала ""Ход""","Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
149,Тяговые двигатели ТЭД 1-2,"Не включаются ТЭД1-2 - от ТП-1, нет сигнала ""ЭЛТ""","От ТП-1 нет подтверждения сигнала ""Торможение""","Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать электрическое торможение остальными ТЭД и следовать до основного депо."
150,Тяговые двигатели ТЭД 1-2,Заданная сила ТЭД1 (или ТЭД2) не реализуется,Ограничения по моменту силы для ТЭД1 (или ТЭД2),Продолжать движение.
151,Тяговые двигатели ТЭД 1-2,"Не включаются ТЭД1-2 - от ТП-1 нет сигнала ""Назад""","От ТП-1 нет подтверждения сигнала ""Назад""","Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
152,Тяговые двигатели ТЭД 1-2,"Не включаются ТЭД1-2 - от ТП-1 нет сигнала ""Вперед""","От ТП-1 нет подтверждения сигнала ""Вперед""","Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
153,Тяговые двигатели ТЭД 1-2,"Не включается режим ""Ввод в депо"" - от ТП-1 нет сигнала ""Готов к режиму ""Ввод в депо""""","От ТП-1 нет сигнала ""Готов к режиму ""Ввод в депо"""", не будет задания по силе.","Для режима ""Ввод в депо"" использовать ТП-2."
154,Тяговые двигатели ТЭД 1-2,"Не включается режим ""Ввод в депо"" - от ТП-1 нет сигнала ""Включен режим Ввод в депо""","От ТП-1 нет сигнала ""Включен режим Ввод в депо""","Для режима ""Ввод в депо"" использовать ТП-2."
155,Тяговые двигатели ТЭД 3-4,"Не включаются ТЭД3-4- от ТП-2 нет сигнала ""Действительное вращающееся поле""",Нет подтверждения от ТП-2 о подключении к источнику питания.,"Проверить подключение питания для режима ""Ввод в депо"""
156,Тяговые двигатели ТЭД 3-4,"Не включаются ТЭД3-4- от ТП-2, нет сигнала ""Ход""","От ТП-2 нет подтверждения сигнала ""Ход""","Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
157,Тяговые двигатели ТЭД 3-4,"Не включаются ТЭД3-4- от ТП-2, нет сигнала ""ЭЛТ""","От ТП-2 нет подтверждения сигнала ""Торможение""","Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать электрическое торможение остальными ТЭД и следовать до основного депо."
158,Тяговые двигатели ТЭД 3-4,Заданная сила ТЭД3 (или ТЭД4) не реализуется,Ограничения по моменту силы для ТЭД3 (или ТЭД4),Продолжать движение.
159,Тяговые двигатели ТЭД 3-4,"Не включаются ТЭД3-4- от ТП-2 нет сигнала ""Назад""","От ТП-2 нет подтверждения сигнала ""Назад""","Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
160,Тяговые двигатели ТЭД 3-4,"Не включаются ТЭД3-4- от ТП-2 нет сигнала ""Вперед""","От ТП-2 нет подтверждения сигнала ""Вперед""","Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
161,Тяговые двигатели ТЭД 3-4,"Не включается режим ""Ввод в депо"" - от ТП-2 нет сигнала ""Готов к режиму ""Ввод в депо""""","От ТП-2 нет сигнала ""Готов к режиму ""Ввод в депо"""", не будет задания по силе.","Для режима ""Ввод в депо"" использовать ТП-1."
162,Тяговые двигатели ТЭД 3-4,"Не включается режим ""Ввод в депо"" - от ТП-2 нет сигнала ""Включен режим Ввод в депо""","От ТП-2 нет сигнала ""Включен режим Ввод в депо""","Для режима ""Ввод в депо"" использовать ТП-1."
163,МПСУиД,Нет связи по линии 1,По линии 1 в течение секунды нет запросов от всех каналов БЦВ,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2
164,МПСУиД,Нет связи по линии 2,По линии 2 в течение секунды нет запросов от всех каналов БЦВ,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2
165,МПСУиД,Нет связи по обеим линиям связи,В течение секунды нет запросов от всех каналов БЦВ по обеим линиям связи,Произвести перезагрузку МПСУиД
166,МПСУиД,По одной линии нет связи с джойстиком силы,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от джойстика силы.,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
167,МПСУиД,Нет связи с джойстиком силы,"В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от джойстика силы, нет признака бустерной секции","Задание силы производить с помощью кнопок ""Тяга+"" и ""Тяга-""."
168,МПСУиД,Нет связи с одним из каналов джойстика силы,В течение двух секунд нет ответов на запросы от БЦВ по одному из каналов джойстика силы,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
169,МПСУиД,По одной линии нет связи с БСП,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БСП,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
170,МПСУиД,Нет связи с БСП,"В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БСП, нет признака бустерной секции",Нет сигналов от органов управления электровозом. По монитору убедиться во включенном положении ВЦУ. Следовать до ПТО.
171,МПСУиД,Нет связи с одним каналом БСП,В течение двух секунд нет ответов на запросы от БЦВ по одному из каналов БСП,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
172,МПСУиД,По одной линии нет связи с БУК 1,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 1,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
173,МПСУиД,Нет связи с БУК 1,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 1,Следовать до ПТО на преобразователях одной секции.
174,МПСУиД,По одной линии нет связи с БУК 2,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 2,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
175,МПСУиД,Нет связи с БУК 2,"В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 2 (разрешение тяги для ТП1, ТП2)",Следовать до ПТО на преобразователях одной секции.
176,МПСУиД,По одной линии нет связи с БУК 4,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 4,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
177,МПСУиД,Нет связи с БУК 4,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 4 (не включится ГВ),Следовать до ПТО на преобразователях одной секции.
178,МПСУиД,По одной линии нет связи с БУК 7,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 7,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
179,МПСУиД,Нет связи с БУК 7,"В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 7 (цепи QS1, QS3, QS4 и токоприемника)",Следовать до ПТО на преобразователях одной секции. Для питания высоковольтных цепей использовать токоприемник исправной секции.
180,МПСУиД,По одной линии нет связи с БУК 8,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 8,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
181,МПСУиД,Нет связи с БУК 8,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 8,Следовать до ПТО на преобразователях одной секции.
182,МПСУиД,По одной линии нет связи с БУК 11,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 11,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
183,МПСУиД,Нет связи с БУК 11,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 11,Следовать до ПТО на преобразователях одной секции.
184,МПСУиД,По одной линии нет связи с БУК 13,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 11,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
185,МПСУиД,Нет связи с БУК 13,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 13,"Следовать до ПТО на преобразователях одной секции. Контроль за состоянием аккумуляторной батареи, не включится контактор резервирования."
186,МПСУиД,По одной линии нет связи с БС-ДД,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БС-ДД,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
187,МПСУиД,Нет связи с БС-ДД,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БС-ДД,"На секции, где нет связи, устанавливается запрет на подъем токоприемника. Включение компрессоров кнопкой принудительного включения. На неисправной секции нет значений давления воздуха в магистралях. Нет величины сопротивления изоляции цепей управления. Следовать до ПТО."
188,МПСУиД,По одной линии нет связи с БЗС,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БЗС,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
189,МПСУиД,Нет связи с БЗС,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БЗС,"Отключить БЗС, защита от скольжения через преобразователи."
190,МПСУиД,По одной линии нет связи с БС-СИ,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БС-СИ,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
191,МПСУиД,Нет связи с БС-СИ,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БС-СИ,Следовать до ПТО на преобразователях одной секции. Используется токоприемник исправной секции. Контроль за состоянием аккумуляторной батареи на секции с неисправным БС-СИ.
192,МПСУиД,По одной линии нет связи с БВС-1,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-1,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
193,МПСУиД,Нет связи с БВС-1,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-1,На секции с отсутствием связи отключатся преобразователи. Следовать до ПТО на преобразователях одной секции.
194,МПСУиД,По одной линии нет связи с БВС-2,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-2,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
195,МПСУиД,Нет связи с БВС-2,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-2,"Нет контроля открытия жалюзи УО-2, отключить ТП-2, Следовать до ПТО на исправных преобразователях"
196,МПСУиД,По одной линии нет связи с БВС-4,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-4,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
197,МПСУиД,Нет связи с БВС-4,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-4,Нет контроля включения контакторов вспомогательных машин. Следовать до ПТО на преобразователях одной секции.
198,МПСУиД,По одной линии нет связи с БВС-7,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-7,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
199,МПСУиД,Нет связи с БВС-7,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-7,"Нет контроля открытия жалюзи УО-1, отключить ТП-1, Следовать до ПТО на исправных преобразователях"
200,МПСУиД,Неисправен один из каналов БЦВ,В течение секунды нет запросов от одного из каналов БЦВ,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2
201,МПСУиД,По одной линии нет связи с БУЭ,В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУЭ,Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
202,МПСУиД,Нет связи с БУЭ,В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУЭ,Следовать до ПТО на преобразователях одной секции. Производится отключение ГВ через БУЭ
203,МПСУиД,Совместная работа электровозов невозможна (разные версии ПО),Код диагностики от БЦВ,Движение невозможно.
204,Боксование и юз колесных пар электровоза,Сильное скольжение,Более 10 секунд скорость проскальзывания любой колесной пары превышает 12 км/ч,При ложной сигнализации о боксовании выключить ПБЗ.
205,Боксование и юз колесных пар электровоза,Отсутствие вращения КП N...,"Напряжение контактной сети в рабочем диапазоне, соответствующий тяговый преобразователь в режиме выбега. Более 10 секунд есть сигнал слабого скольжения соответствующей колесной пары в режиме ""Выбег"".",Проверить вращение соответствующей колесной пары.
206,Боксование и юз колесных пар электровоза,Неисправность ДПС колесной пары,"Напряжение контактной сети в рабочем диапазоне, скорость от тягового преобразователя соответствующей колесной пары больше 10км/ч, тяговый преобразователь в режиме тяги или торможения. Более 10 секунд есть сигнал слабого скольжения соответствующей колесной пары в режиме ""Выбег"".",При ложной сигнализации о боксовании выключить ПБЗ
207,Боксование и юз колесных пар электровоза,Принудительное отключение ТЭД машинистом,"Задана величина силы тяги или торможения более 50%, Есть отключенные пары ТЭД. Собрана схема тягового или тормозного режима.",Через монитор была выведена пара ТЭД. Если необходимо вернуться в соответствующее экранное меню и включить ТЭД.
208,Боксование и юз колесных пар электровоза,"Низкий коэффициент сцепления, рекомендуется подача песка",В течение 5 секунд отклонение суммарно реализуемых моментов от суммарно заданных составляет от 6 до 15%,Обеспечить подачу песка.
209,Боксование и юз колесных пар электровоза,"Очень низкий коэффициент сцепления, выполняется автоматическая подача песка",В течение 5 секунд отклонение суммарно реализуемых моментов от суммарно заданных составляет более 15%,Обеспечить соотношение заданных и реализуемых моментов для исключения скольжения колесных пар.
210,АБ и ППУ,Отказ ЗУ1,"При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение ЗУ1 в течение 15 секунд меньше 85В или в течение 2 секунд больше 190В",Причины сбоя устраняются при проведении ТО-2
211,АБ и ППУ,Отказ ЗУ2,"При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение ЗУ2 в течение 15 секунд меньше 85В или в течение 2 секунд больше 190В",Причины сбоя устраняются при проведении ТО-2
212,АБ и ППУ,Отказ ЗУ,"При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение обеих зарядных устройств в течение 15 секунд меньше 85В или в течение 2 секунд больше 190В",Включится контактор резервирования. Питание цепей управления от ППЦУ других секций. Причины сбоя устраняются по прибытии в основное депо.
213,АБ и ППУ,Отказ источника питания ИП-ЛЭ,"При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение ИП-ЛЭ в течение 15 секунд меньше 95В или в течение 2 секунд больше 200В",Питание ИП-ЛЭ от ППЦУ других секций Причины сбоя устраняются при проведении ТО-2
214,АБ и ППУ,Отказ канала входного напряжения ППЦУ,"При наличии готовности БПСН, входное напряжение в течение 15 секунд меньше 320В или в течение 2 секунд больше 660В",Отказ ППЦУ. Включится контактор резервирования. Питание ИП-ЛЭ от ППЦУ других секций. Причины сбоя устраняются по прибытии в основное депо.
215,АБ и ППУ,Нет связи с БС-СМ,"При наличии готовности БПСН, нет связи с БС-СМ (блок связи со средствами измерения) и нет признаков бустерной секции.",Причины сбоя устраняются при проведении ТО-2
216,АБ и ППУ,Нет связи с ПНКВ (600В),При наличии готовности БПСН от ПНКВ ППЦУ нет сигнала в МПСУиД,Причины сбоя устраняются по прибытии в основное депо.
217,АБ и ППУ,Нет связи с БС-ПС (канал 1),"В течение 10 секунд нет ответов на запросы от МПСУиД к БС-ПС канал 1, величина напряжения контактной сети выше 19000В.",Причины сбоя устраняются по прибытии в основное депо.
218,АБ и ППУ,Нет связи с БС-ПС (канал 2),"В течение 10 секунд нет ответов на запросы от МПСУиД к БС-ПС канал 2, величина напряжения контактной сети выше 19000В.",Причины сбоя устраняются по прибытии в основное депо.
219,АБ и ППУ,Нет связи с БС-ПС,"В течение 10 секунд нет ответов на запросы от МПСУиД к БС-ПС по обоим каналам связи, величина напряжения контактной сети выше 19000В.",Причины сбоя устраняются по прибытии в основное депо
220,АБ и ППУ,Нет замеров напряжения АБ,При наличии связи с КИ ППУв течение 40 секунд величина напряжения АБ меньше 5В,"Продолжить движение, контролировать напряжение АБ по вольтметру в кабине управления."
221,АБ и ППУ,Повышенный разряд батареи. Уменьшить нагрузку.,При наличии связи с КИ ППУв течение 40 секунд величина тока разрядки АБ более 50А,Уменьшить нагрузку АБ
222,АБ и ППУ,"Возможно, зарядное устройство вышло из строя. Отключить автомат АБ.","При наличии связи с КИ ППУв течение 10 секунд ток заряда АБ больше 32А, напряжение заряда больше 162В",Отключить автоматический выключатель АБ (SF20) в ШНА неисправной секции. Питание цепей управления от ППЦУ других секций. Причины сбоя устраняются по прибытии в основное депо.
223,АБ и ППУ,АБ близка к разряду. Подними токоприемник. Включи ГВ,При наличии связи с КИ ППУ и напряжение контактной сети менее 19000В в течение 40 секунд напряжение АБ менее 105В.,Поднять токоприемник. Включить ГВ
224,АБ и ППУ,АБ разряжена. Подними токоприемник. Включи ГВ,При наличии связи с КИ ППУ и напряжение контактной сети менее 19000В в течение 40 секунд напряжение АБ менее 92В.,Поднять токоприемник. Включить ГВ
225,АБ и ППУ,Нет заряда АБ. Не опускать токоприемник,"При наличии готовности БПСН и связи с КИ ППУ, напряжении контактной сети более 19000В. Напряжение заряда АБ менее 119В и ток заряда менее 3А",Продолжить движение. Контролировать состояние АБ
226,АБ и ППУ,Повышенный ток потребления в цепях управления,При наличии связи с КИ ППУв течение 40 секунд величина тока разрядки АБ более 49А,"Уменьшить нагрузку, контролировать состояние АБ."
227,АБ и ППУ,Нет связи с КИ ППУ1,При напряжении контактной сети более 19000В нет связи с КИ ППУ1.,Причины сбоя устраняются при проведении ТО-2
228,АБ и ППУ,Нет связи с КИ ППУ2,При напряжении контактной сети более 19000В нет связи с КИ ППУ2.,Причины сбоя устраняются при проведении ТО-2
229,АБ и ППУ,Отказ источника проп. питания 1,"При наличии готовности БПСН и связи с КИ ППУ, напряжение источника пропадающего питания 1 в течение 15 секунд меньше 65В или в течение 2 секунд больше 135В",Причины сбоя устраняются при проведении ТО-2
230,АБ и ППУ,Отказ источника проп. питания 2,"При наличии готовности БПСН и связи с КИ ППУ, напряжение источника пропадающего питания 2 в течение 15 секунд меньше 65В или в течение 2 секунд больше 135В",Причины сбоя устраняются при проведении ТО-2
