N,topic,malfunction,cause,elimination
24,В преобразователе сигнал о защите по ТЭД1 ТЭД6,"Снятие/запрет схемы тяги
Повторное срабатывание той же защиты приведет к блокировке преобразователя.
(Защита по ТЭД1 - ТЭД6 [Отключи ОМ1 - ОМ6])",Выход из строя силовых элементов преобразователя,Повторно собрать схему тяги. При повторном срабатывании выключить ОМ1 - ОМ6.
24,В преобразователе сигнал о защите по ТЭД1 ТЭД6,"Снятие/запрет схемы тяги
Повторное срабатывание той же защиты приведет к блокировке преобразователя.
(Защита по ТЭД1 - ТЭД6 [Отключи ОМ1 - ОМ6])",Ложное срабатывание,Повторно собрать схему тяги. При повторном срабатывании выключить ОМ1 - ОМ6.
25,Разница между током мотор-вентилятора обдува тормозных резисторов и допустимым (вычисленным при помощи тока через тормозной резистор) превысила 20 А,"Сброс нагрузки из режимов ""ЭДТ"" или ""Тяги"" при нагружении на тормозные резисторы.
(Защита резисторов ЭДТ (1 или 2 тележка)",Мотор-вентилятор неисправен,"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ1, ОМ2, ОМ3."
25,Разница между током мотор-вентилятора обдува тормозных резисторов и допустимым (вычисленным при помощи тока через тормозной резистор) превысила 20 А,"Сброс нагрузки из режимов ""ЭДТ"" или ""Тяги"" при нагружении на тормозные резисторы.
(Защита резисторов ЭДТ (1 или 2 тележка)",Неисправен датчик тока мотор-вентилятора,"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ1, ОМ2, ОМ3."
25,Разница между током мотор-вентилятора обдува тормозных резисторов и допустимым (вычисленным при помощи тока через тормозной резистор) превысила 20 А,"Сброс нагрузки из режимов ""ЭДТ"" или ""Тяги"" при нагружении на тормозные резисторы.
(Защита резисторов ЭДТ (1 или 2 тележка)",Неисправен датчик тока через тормозной резистор,"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ1, ОМ2, ОМ3."
25,Разница между током мотор-вентилятора обдува тормозных резисторов и допустимым (вычисленным при помощи тока через тормозной резистор) превысила 20 А,"Сброс нагрузки из режимов ""ЭДТ"" или ""Тяги"" при нагружении на тормозные резисторы.
(Защита резисторов ЭДТ (1 или 2 тележка)",Неисправна плата ПВАД или БОАД УОИ,"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ1, ОМ2, ОМ3."
26,В режиме тяги в УОИ сигнал о токе через резисторы ЭДТ более 100А,"Сброс нагрузки из режима ""Тяга""
(Защита резисторов ЭДТ 1-ой тележки/2-ой тележки)",Неисправность/ срабатывание защиты ТП,"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ4, ОМ5, ОМ6."
26,В режиме тяги в УОИ сигнал о токе через резисторы ЭДТ более 100А,"Сброс нагрузки из режима ""Тяга""
(Защита резисторов ЭДТ 1-ой тележки/2-ой тележки)",Неисправен датчик тока (ПИНТ),"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ4, ОМ5, ОМ6."
26,В режиме тяги в УОИ сигнал о токе через резисторы ЭДТ более 100А,"Сброс нагрузки из режима ""Тяга""
(Защита резисторов ЭДТ 1-ой тележки/2-ой тележки)",Неисправна плата ПВАД или БОАД УОИ,"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяги"", то отключить ОМ4, ОМ5, ОМ6."
27,В преобразователе тормозной ток более нормы,"Снятие/запрет схемы тяги
(Защита ЭДТ 1-ой тележки/ 2-ой тележки)",КЗ в тормозном резисторе,"Запрет пользования ЭДТ. При срабатывании в режиме ""Тяга"" выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился - перевести секцию в режим ""Холостой ход""."
27,В преобразователе тормозной ток более нормы,"Снятие/запрет схемы тяги
(Защита ЭДТ 1-ой тележки/ 2-ой тележки)",Ложное срабатывание,"Запрет пользования ЭДТ. При срабатывании в режиме ""Тяга"" выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился - перевести секцию в режим ""Холостой ход""."
27,В преобразователе тормозной ток более нормы,"Снятие/запрет схемы тяги
(Защита ЭДТ 1-ой тележки/ 2-ой тележки)",Неисправность датчика или СУ преобразователем,"Запрет пользования ЭДТ. При срабатывании в режиме ""Тяга"" выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
Если размыкатель не отключился - перевести секцию в режим ""Холостой ход""."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не отключился)",Несправен контактор,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не отключился)",Наличие напряжения +110В на катушке контактора,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не отключился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не отключился)",Неисправность блок-контакта,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не включился)",Несправен контактор,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не включился)",Обрыв провода к катушке контактора или отсутствие +110В,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не включился)",Обрыв провода от блок-контакта,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
28,При отключении/включении устройством обработки информации (УОИ) контактора КМ1 сигнал обратной связи о его отключении/включении в УОИ не приходит,"Прекращение самовозбуждения ВГ
(КМ1 не включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно отключился)",Неисправность блок-контакта,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
29,При отключенном/включеном устройством обработки информации (УОИ) контакторе КМ1 в УОИ приходит сигнал обратной связи о его включении/отключении,"Прекращение самовозбуждения ВГ
(КМ1 самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не включился)",Несправен контактор,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не включился)",Обрыв провода к катушке контактора или отсутствие +110В,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не включился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не включился)",Обрыв провода от блок-контакта,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не включился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не отключился)",Несправен контактор,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не отключился)",Наличие напряжения +110В на катушке,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты.
30,При включении/отключении устройством обработки информации (УОИ) контактора КМ8 сигнал обратной связи о его включении/отключении в УОИ не приходит,"Предупреждение!
(КМ8 не отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно включился)",Несправен контактор или его блок-контакт,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно включился)",Наличие +110В от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Проверить наличие земли в цепях управления."
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты.
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты.
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты.
31,При отключенном устройством обработки информации (УОИ) контакторе КМ8 в УОИ приходит сигнал обратной связи о его включении/отключении,"Предупреждение!
(КМ8 самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КДК не включился)",Несправен контактор,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КДК не включился)",Обрыв провода к катушке контактора или отсутствие +110В,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КДК не включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КДК не включился)",Обрыв провода от блок-контакта,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КДК не включился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)",Несправен контактор,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)",Наличие напряжения +110В на катушке контактора,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)",Неисправность блок-контакта,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)",Наличие +110В в проводе от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК. Нет последующего включения компрессора
(КДК не отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КУДК не включился)",Несправен контактор,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КУДК не включился)",Обрыв провода к катушке контактора или отсутствие +110В,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
32,При включении/отключении устройством обработки информации (УОИ) контактора КДК/КУДК сигнал обратной связи о его включении/отключении в УОИ не приходит,"Отключение КДК и КУДК
(КУДК не включился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
